"genre","song_name","artist","song_popularity","song_duration_ms","acousticness","danceability","energy","liveness","loudness","speechiness","tempo","audio_valence"
"pop","SexyBack","Justin Timberlake",77,242733,0.0584,0.967,0.583,0.0519,-5.562,0.0789,117,0.964
"pop","With You","Chris Brown",69,252160,0.143,0.659,0.696,0.13,-4.291,0.071,86.001,0.665
"pop","Breakeven","The Script",76,261426,0.173,0.63,0.698,0.0789,-4.51,0.0244,94.023,0.529
"pop","I Know You Want Me (Calle Ocho)","Pitbull",65,237120,0.0142,0.824,0.743,0.237,-5.995,0.141,127.046,0.804
"pop","Bye Bye Bye","*NSYNC",73,200400,0.031,0.61,0.926,0.0821,-4.843,0.0479,172.638,0.861
"pop","Complicated","Avril Lavigne",77,244506,0.0572,0.585,0.776,0.3,-5.898,0.0459,77.987,0.427
"pop","Let Me Love You","Mario",80,256733,0.235,0.656,0.578,0.118,-8.97,0.0922,94.514,0.556
"pop","Beautiful","Christina Aguilera",73,238560,0.578,0.457,0.573,0.114,-3.866,0.0275,76.193,0.0992
"pop","Raise Your Glass","P!nk",54,203306,0.00611,0.701,0.7,0.0295,-4.934,0.0876,122.035,0.625
"pop","Timber","Pitbull",75,204160,0.0295,0.581,0.963,0.139,-4.087,0.0981,129.992,0.788
